Weekday,Genre,Count
Sunday,Folk,1
Sunday,Rock,6
Sunday,Pop,6
Sunday,Country,0
Sunday,Bluegrass,1
Sunday,Christian,0
Sunday,Classical,0
Sunday,Opera,1
Sunday,Comedy,1
Sunday,Indie,1
Sunday,Funk,0
Sunday,Jazz,2
Sunday,R&B,0
Sunday,Musical,1
Monday,Folk,0
Monday,Rock,2
Monday,Pop,0
Monday,Country,0
Monday,Bluegrass,0
Monday,Christian,0
Monday,Classical,1
Monday,Opera,0
Monday,Comedy,1
Monday,Indie,2
Monday,Funk,0
Monday,Jazz,0
Monday,R&B,0
Monday,Musical,0
Tuesday,Folk,1
Tuesday,Rock,6
Tuesday,Pop,3
Tuesday,Country,1
Tuesday,Bluegrass,0
Tuesday,Christian,1
Tuesday,Classical,1
Tuesday,Opera,0
Tuesday,Comedy,0
Tuesday,Indie,0
Tuesday,Funk,0
Tuesday,Jazz,1
Tuesday,R&B,0
Tuesday,Musical,0
Wednesday,Folk,1
Wednesday,Rock,9
Wednesday,Pop,4
Wednesday,Country,0
Wednesday,Bluegrass,0
Wednesday,Christian,1
Wednesday,Classical,0
Wednesday,Opera,0
Wednesday,Comedy,0
Wednesday,Indie,1
Wednesday,Funk,0
Wednesday,Jazz,2
Wednesday,R&B,1
Wednesday,Musical,0
Thursday,Folk,0
Thursday,Rock,8
Thursday,Pop,2
Thursday,Country,2
Thursday,Bluegrass,1
Thursday,Christian,0
Thursday,Classical,0
Thursday,Opera,0
Thursday,Comedy,1
Thursday,Indie,2
Thursday,Funk,0
Thursday,Jazz,2
Thursday,R&B,0
Thursday,Musical,0
Friday,Folk,2
Friday,Rock,8
Friday,Pop,6
Friday,Country,3
Friday,Bluegrass,0
Friday,Christian,0
Friday,Classical,1
Friday,Opera,1
Friday,Comedy,1
Friday,Indie,3
Friday,Funk,3
Friday,Jazz,1
Friday,R&B,3
Friday,Musical,0
Saturday,Folk,4
Saturday,Rock,3
Saturday,Pop,2
Saturday,Country,0
Saturday,Bluegrass,0
Saturday,Christian,1
Saturday,Classical,0
Saturday,Opera,0
Saturday,Comedy,3
Saturday,Indie,2
Saturday,Funk,0
Saturday,Jazz,0
Saturday,R&B,0
Saturday,Musical,0
